method,image_id,repeat,k_budget,k,cost,k_norm,mse,ssim,obj_mse,obj_ssim,obj_cost,obj_k,selected_indices,selected_labels
greedy,6,,1,1,0.10000000149011612,0.1,0.0017141567077487707,0.8677197799516242,0.9982858432922512,0.8677197799516242,0.8999999985098839,0.9,0,H00
greedy,6,,2,2,0.20000000298023224,0.2,0.000836009276099503,0.9240033669124815,0.9991639907239005,0.9240033669124815,0.7999999970197678,0.8,0 2,H00 H10
greedy,6,,3,3,0.30000001192092896,0.3,0.0005874915514141321,0.9488210503928868,0.9994125084485859,0.9488210503928868,0.699999988079071,0.7,0 2 8,H00 H10 H21
greedy,6,,4,4,0.4000000059604645,0.4,0.0005423409747891128,0.9567660641957265,0.9994576590252109,0.9567660641957265,0.5999999940395355,0.6,0 2 4 8,H00 H10 H11 H21
greedy,6,,5,5,0.5,0.5,0.000417567091062665,0.9618562362937525,0.9995824329089373,0.9618562362937525,0.5,0.5,0 2 4 5 8,H00 H10 H11 H20 H21
greedy,6,,6,6,0.6000000238418579,0.6,0.0003393200458958745,0.9684969041314901,0.9996606799541041,0.9684969041314901,0.3999999761581421,0.4,0 2 3 4 5 8,H00 H10 H02 H11 H20 H21
greedy,6,,7,7,0.699999988079071,0.7,0.00031364907044917345,0.9703016455122464,0.9996863509295508,0.9703016455122464,0.30000001192092896,0.30000000000000004,0 2 3 4 5 8 9,H00 H10 H02 H11 H20 H21 H30
greedy,6,,8,8,0.800000011920929,0.8,0.0003111997793894261,0.9709844998528075,0.9996888002206106,0.9709844998528075,0.19999998807907104,0.19999999999999996,0 2 3 4 5 6 8 9,H00 H10 H02 H11 H20 H03 H21 H30
greedy,6,,9,9,0.8999999761581421,0.9,0.0003109155222773552,0.9710754795923527,0.9996890844777226,0.9710754795923527,0.10000002384185791,0.09999999999999998,0 2 3 4 5 6 7 8 9,H00 H10 H02 H11 H20 H03 H12 H21 H30
greedy,6,,10,10,1.0,1.0,0.00030655122827738523,0.9707374561591324,0.9996934487717226,0.9707374561591324,0.0,0.0,0 1 2 3 4 5 6 7 8 9,H00 H01 H10 H02 H11 H20 H03 H12 H21 H30
