method,image_id,repeat,k_budget,k,k_total,k_effective,cost,k_norm,k_norm_effective,mse,ssim,edge_corr,obj_mse,obj_ssim,obj_cost,obj_k,selected_indices,selected_labels,selected_detail_indices,selected_detail_labels,preference_id,preference_name,preference,actions,reconstruction_mode
random,7,14,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.004974071402102709,0.7527449705430908,0.7219187280509525,0.9950259285978973,0.7527449705430908,0.8888888888888888,0.8888888888888888,0 2,H00 H10,2,H10,,,,,direct_sum
random,7,15,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.005165424197912216,0.7273999921651945,0.7119872312186456,0.9948345758020878,0.7273999921651945,0.8888888888888888,0.8888888888888888,0 9,H00 H30,9,H30,,,,,direct_sum
random,7,16,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.006861611735075712,0.7351457092498638,0.7527240732098432,0.9931383882649243,0.7351457092498638,0.8888888888888888,0.8888888888888888,0 6,H00 H03,6,H03,,,,,direct_sum
random,7,17,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.004974071402102709,0.7527449705430908,0.7219187280509525,0.9950259285978973,0.7527449705430908,0.8888888888888888,0.8888888888888888,0 2,H00 H10,2,H10,,,,,direct_sum
random,7,18,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.00467330776154995,0.772436733828253,0.7672144068083508,0.99532669223845,0.772436733828253,0.8888888888888888,0.8888888888888888,0 4,H00 H11,4,H11,,,,,direct_sum
random,7,19,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.004751227796077728,0.7555070133917432,0.7918331324249444,0.9952487722039223,0.7555070133917432,0.8888888888888888,0.8888888888888888,0 7,H00 H12,7,H12,,,,,direct_sum
random,7,0,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.002566048176959157,0.8788196926185691,0.8721455548870405,0.9974339518230408,0.8788196926185691,0.6666666666666667,0.6666666666666667,0 1 3 4,H00 H01 H02 H11,1 3 4,H01 H02 H11,,,,,direct_sum
random,7,1,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0020911740139126778,0.8728512589964799,0.901476213718615,0.9979088259860873,0.8728512589964799,0.6666666666666667,0.6666666666666667,0 3 4 7,H00 H02 H11 H12,3 4 7,H02 H11 H12,,,,,direct_sum
random,7,2,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0048273890279233456,0.8495099512809239,0.8449518354595636,0.9951726109720767,0.8495099512809239,0.6666666666666667,0.6666666666666667,0 1 3 8,H00 H01 H02 H21,1 3 8,H01 H02 H21,,,,,direct_sum
random,7,3,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0017847174312919378,0.8973206643117027,0.8998552892715679,0.9982152825687081,0.8973206643117027,0.6666666666666667,0.6666666666666667,0 3 4 8,H00 H02 H11 H21,3 4 8,H02 H11 H21,,,,,direct_sum
random,7,4,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.002707452978938818,0.8636637072518522,0.8337543602876476,0.9972925470210612,0.8636637072518522,0.6666666666666667,0.6666666666666667,0 1 2 4,H00 H01 H10 H11,1 2 4,H01 H10 H11,,,,,direct_sum
random,7,5,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.004437658004462719,0.8040560416336859,0.8029104513442121,0.9955623419955373,0.8040560416336859,0.6666666666666667,0.6666666666666667,0 2 6 9,H00 H10 H03 H30,2 6 9,H10 H03 H30,,,,,direct_sum
random,7,6,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0026525454595685005,0.8841551171790689,0.876516547095963,0.9973474545404315,0.8841551171790689,0.6666666666666667,0.6666666666666667,0 4 5 7,H00 H11 H20 H12,4 5 7,H11 H20 H12,,,,,direct_sum
random,7,7,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0036495449021458626,0.8136639081685849,0.7602493254157703,0.9963504550978541,0.8136639081685849,0.6666666666666667,0.6666666666666667,0 2 5 9,H00 H10 H20 H30,2 5 9,H10 H20 H30,,,,,direct_sum
random,7,8,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0023859140928834677,0.8783809827921932,0.8875554407833658,0.9976140859071165,0.8783809827921932,0.6666666666666667,0.6666666666666667,0 2 3 5,H00 H10 H02 H20,2 3 5,H10 H02 H20,,,,,direct_sum
random,7,9,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.002066034357994795,0.874338078371268,0.8873859785101923,0.9979339656420052,0.874338078371268,0.6666666666666667,0.6666666666666667,0 3 8 9,H00 H02 H21 H30,3 8 9,H02 H21 H30,,,,,direct_sum
random,7,10,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0027663405053317547,0.8458853276107597,0.864066800195201,0.9972336594946682,0.8458853276107597,0.6666666666666667,0.6666666666666667,0 2 3 9,H00 H10 H02 H30,2 3 9,H10 H02 H30,,,,,direct_sum
random,7,11,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0050988951697945595,0.8161523131638163,0.8139532770175035,0.9949011048302054,0.8161523131638163,0.6666666666666667,0.6666666666666667,0 5 6 8,H00 H20 H03 H21,5 6 8,H20 H03 H21,,,,,direct_sum
random,7,12,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0018953789258375764,0.8801104380493356,0.9039360191340778,0.9981046210741624,0.8801104380493356,0.6666666666666667,0.6666666666666667,0 3 7 8,H00 H02 H12 H21,3 7 8,H02 H12 H21,,,,,direct_sum
