image_id,k,selected_indices,mse,ssim
55,5,0 2 9 1 6,0.0019079729681834579,0.8939049802233291
55,10,0 2 9 1 6 7 5 8 3 4,0.0007503386586904526,0.9419070770177773
56,1,0,0.0017141567077487707,0.8677197799516242
56,3,0 9 2,0.0008213341934606433,0.9235725290541771
56,5,0 9 2 7 6,0.000752510444726795,0.9353397535636365
56,10,0 9 2 7 6 1 3 4 8 5,0.00030655122827738523,0.9707373746545647
57,1,0,0.0047253090888261795,0.6450714768927548
57,3,0 1 6,0.002622895408421755,0.7967606306997406
57,5,0 1 6 8 2,0.002176279202103615,0.8464463830578909
57,10,0 1 6 8 2 9 3 5 7 4,0.0009005171013996005,0.930342589189408
58,1,0,0.005171672441065311,0.6759086361699754
58,3,0 1 6,0.0034890000242739916,0.8015843386297844
58,5,0 1 6 2 9,0.002616169163957238,0.8518511139644879
58,10,0 1 6 2 9 8 7 4 3 5,0.0010921033099293709,0.9330478235414776
59,1,0,0.004875874146819115,0.7128222574791057
59,3,0 2 9,0.002788543701171875,0.8157741804070124
59,5,0 2 9 7 6,0.00245243264362216,0.841906199295973
59,10,0 2 9 7 6 1 3 5 8 4,0.0012130457907915115,0.9249280664923641
