method,image_id,repeat,k_budget,k,k_total,k_effective,cost,k_norm,k_norm_effective,mse,ssim,edge_corr,obj_mse,obj_ssim,obj_cost,obj_k,selected_indices,selected_labels,selected_detail_indices,selected_detail_labels
random,9,17,2,2,3,2,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.002067042049020529,0.877243183770269,0.8473941344597378,0.9979329579509795,0.877243183770269,0.7777777777777778,0.7777777777777778,0 3 8,H00 H02 H21,3 8,H02 H21
random,9,18,2,2,3,2,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0024854042567312717,0.8562282240738058,0.8546383139169462,0.9975145957432687,0.8562282240738058,0.7777777777777778,0.7777777777777778,0 4 9,H00 H11 H30,4 9,H11 H30
random,9,19,2,2,3,2,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.002499900758266449,0.8320641047969088,0.801134250741267,0.9975000992417336,0.8320641047969088,0.7777777777777778,0.7777777777777778,0 2 3,H00 H10 H02,2 3,H10 H02
random,9,0,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.001734769670292735,0.8901223942247639,0.9106272200925793,0.9982652303297073,0.8901223942247639,0.6666666666666667,0.6666666666666667,0 4 5 9,H00 H11 H20 H30,4 5 9,H11 H20 H30
random,9,1,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0020651596132665873,0.8769617618042777,0.8483898811214382,0.9979348403867334,0.8769617618042777,0.6666666666666667,0.6666666666666667,0 3 6 8,H00 H02 H03 H21,3 6 8,H02 H03 H21
random,9,2,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.001882597105577588,0.886002417489904,0.8685489592512278,0.9981174028944224,0.886002417489904,0.6666666666666667,0.6666666666666667,0 1 7 8,H00 H01 H12 H21,1 7 8,H01 H12 H21
random,9,3,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.001734769670292735,0.8901223942247639,0.9106272200925793,0.9982652303297073,0.8901223942247639,0.6666666666666667,0.6666666666666667,0 4 5 9,H00 H11 H20 H30,4 5 9,H11 H20 H30
random,9,4,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0019318013219162822,0.8795876233316914,0.85091029856822,0.9980681986780837,0.8795876233316914,0.6666666666666667,0.6666666666666667,0 2 3 4,H00 H10 H02 H11,2 3 4,H10 H02 H11
random,9,5,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.002453048713505268,0.842039671202725,0.8105348048408287,0.9975469512864947,0.842039671202725,0.6666666666666667,0.6666666666666667,0 2 6 7,H00 H10 H03 H12,2 6 7,H10 H03 H12
random,9,6,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0022127728443592787,0.8559457100174799,0.8173291435468125,0.9977872271556407,0.8559457100174799,0.6666666666666667,0.6666666666666667,0 1 3 7,H00 H01 H02 H12,1 3 7,H01 H02 H12
random,9,7,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0023119470570236444,0.8503345112304129,0.8113299373369987,0.9976880529429764,0.8503345112304129,0.6666666666666667,0.6666666666666667,0 1 2 6,H00 H01 H10 H03,1 2 6,H01 H10 H03
random,9,8,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0017596639227122068,0.889539239877186,0.8690049331757594,0.9982403360772878,0.889539239877186,0.6666666666666667,0.6666666666666667,0 2 3 8,H00 H10 H02 H21,2 3 8,H10 H02 H21
random,9,9,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0016036969609558582,0.9001574929311925,0.9135371001193451,0.9983963030390441,0.9001574929311925,0.6666666666666667,0.6666666666666667,0 3 5 8,H00 H02 H20 H21,3 5 8,H02 H20 H21
random,9,10,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0017727448139339685,0.8822588027232325,0.8892046697954653,0.998227255186066,0.8822588027232325,0.6666666666666667,0.6666666666666667,0 2 5 6,H00 H10 H20 H03,2 5 6,H10 H20 H03
random,9,11,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0022867764346301556,0.8486038492272711,0.8330403905780517,0.9977132235653698,0.8486038492272711,0.6666666666666667,0.6666666666666667,0 3 6 9,H00 H02 H03 H30,3 6 9,H02 H03 H30
random,9,12,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0014466579305008054,0.9093672949621425,0.9159574177878472,0.9985533420694992,0.9093672949621425,0.6666666666666667,0.6666666666666667,0 4 5 7,H00 H11 H20 H12,4 5 7,H11 H20 H12
random,9,13,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0018355018692091107,0.8871431890321402,0.8766329650320787,0.9981644981307909,0.8871431890321402,0.6666666666666667,0.6666666666666667,0 3 4 9,H00 H02 H11 H30,3 4 9,H02 H11 H30
random,9,14,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0016774050891399384,0.8895944809977422,0.89304084709749,0.9983225949108601,0.8895944809977422,0.6666666666666667,0.6666666666666667,0 1 2 5,H00 H01 H10 H20,1 2 5,H01 H10 H20
random,9,15,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0021937135607004166,0.876751296363957,0.8732775997858493,0.9978062864392996,0.876751296363957,0.6666666666666667,0.6666666666666667,0 4 8 9,H00 H11 H21 H30,4 8 9,H11 H21 H30
random,9,16,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0020507387816905975,0.8783215467289852,0.834418946962643,0.9979492612183094,0.8783215467289852,0.6666666666666667,0.6666666666666667,0 3 4 6,H00 H02 H11 H03,3 4 6,H02 H11 H03
random,9,17,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.002440979238599539,0.8374870563774203,0.8309839198666668,0.9975590207614005,0.8374870563774203,0.6666666666666667,0.6666666666666667,0 3 7 9,H00 H02 H12 H30,3 7 9,H02 H12 H30
random,9,18,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0025694812647998333,0.84947629292428,0.8626722230268945,0.9974305187352002,0.84947629292428,0.6666666666666667,0.6666666666666667,0 1 8 9,H00 H01 H21 H30,1 8 9,H01 H21 H30
random,9,19,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0016130964504554868,0.8954668036716305,0.9025455170880544,0.9983869035495445,0.8954668036716305,0.6666666666666667,0.6666666666666667,0 5 6 7,H00 H20 H03 H12,5 6 7,H20 H03 H12
random,9,0,4,4,5,4,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.0015951123787090182,0.9013053999679976,0.9130947358928451,0.998404887621291,0.9013053999679976,0.5555555555555556,0.5555555555555556,0 1 3 5 8,H00 H01 H02 H20 H21,1 3 5 8,H01 H02 H20 H21
random,9,1,4,4,5,4,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.0020161946304142475,0.8765275596278884,0.8460398878922953,0.9979838053695858,0.8765275596278884,0.5555555555555556,0.5555555555555556,0 1 2 4 9,H00 H01 H10 H11 H30,1 2 4 9,H01 H10 H11 H30
random,9,2,4,4,5,4,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.002059654565528035,0.8767707027875853,0.8545630016401954,0.997940345434472,0.8767707027875853,0.5555555555555556,0.5555555555555556,0 2 4 7 9,H00 H10 H11 H12 H30,2 4 7 9,H10 H11 H12 H30
random,9,3,4,4,5,4,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.0025343652814626694,0.8495267012403496,0.8597694530446258,0.9974656347185373,0.8495267012403496,0.5555555555555556,0.5555555555555556,0 1 6 8 9,H00 H01 H03 H21 H30,1 6 8 9,H01 H03 H21 H30
random,9,4,4,4,5,4,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.0017533156787976623,0.8890815956006436,0.8697102099528247,0.9982466843212023,0.8890815956006436,0.5555555555555556,0.5555555555555556,0 2 3 6 8,H00 H10 H02 H03 H21,2 3 6 8,H10 H02 H03 H21
random,9,5,4,4,5,4,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.0015657334588468075,0.8999219130853127,0.9085880332934823,0.9984342665411532,0.8999219130853127,0.5555555555555556,0.5555555555555556,0 2 4 5 9,H00 H10 H11 H20 H30,2 4 5 9,H10 H11 H20 H30
random,9,6,4,4,5,4,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.0016455871518701315,0.892367823104796,0.9049348341625084,0.9983544128481299,0.892367823104796,0.5555555555555556,0.5555555555555556,0 2 3 5 9,H00 H10 H02 H20 H30,2 3 5 9,H10 H02 H20 H30
random,9,7,4,4,5,4,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.002279311418533325,0.8553929996724361,0.8199483067349188,0.9977206885814667,0.8553929996724361,0.5555555555555556,0.5555555555555556,0 1 6 7 9,H00 H01 H03 H12 H30,1 6 7 9,H01 H03 H12 H30
random,9,8,4,4,5,4,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.001751028117723763,0.890031078340891,0.8888755351088559,0.9982489718822762,0.890031078340891,0.5555555555555556,0.5555555555555556,0 1 3 8 9,H00 H01 H02 H21 H30,1 3 8 9,H01 H02 H21 H30
random,9,9,4,4,5,4,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.0022023278288543224,0.8554227627574618,0.8369861171242311,0.9977976721711457,0.8554227627574618,0.5555555555555556,0.5555555555555556,0 1 3 6 9,H00 H01 H02 H03 H30,1 3 6 9,H01 H02 H03 H30
random,9,10,4,4,5,4,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.002035664627328515,0.8838434813900736,0.9060691115772602,0.9979643353726715,0.8838434813900736,0.5555555555555556,0.5555555555555556,0 1 4 5 6,H00 H01 H11 H20 H03,1 4 5 6,H01 H11 H20 H03
random,9,11,4,4,5,4,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.0014824888203293085,0.9060841659515848,0.9134554238186997,0.9985175111796707,0.9060841659515848,0.5555555555555556,0.5555555555555556,0 1 5 7 8,H00 H01 H20 H12 H21,1 5 7 8,H01 H20 H12 H21
random,9,12,4,4,5,4,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.002992450725287199,0.8543769442758719,0.7999932689133248,0.9970075492747128,0.8543769442758719,0.5555555555555556,0.5555555555555556,0 1 4 6 8,H00 H01 H11 H03 H21,1 4 6 8,H01 H11 H03 H21
random,9,13,4,4,5,4,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.0013429118553176522,0.9158512009628887,0.9213064463730064,0.9986570881446823,0.9158512009628887,0.5555555555555556,0.5555555555555556,0 4 5 6 7,H00 H11 H20 H03 H12,4 5 6 7,H11 H20 H03 H12
random,9,14,4,4,5,4,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.0016373248072341084,0.8968354222075693,0.9059789608790496,0.9983626751927659,0.8968354222075693,0.5555555555555556,0.5555555555555556,0 1 3 5 6,H00 H01 H02 H20 H03,1 3 5 6,H01 H02 H20 H03
random,9,15,4,4,5,4,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.0016835290007293224,0.9006722594625743,0.8746702465743296,0.9983164709992707,0.9006722594625743,0.5555555555555556,0.5555555555555556,0 2 4 7 8,H00 H10 H11 H12 H21,2 4 7 8,H10 H11 H12 H21
random,9,16,4,4,5,4,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.0013060668716207147,0.9183343805186672,0.9296366231834373,0.9986939331283793,0.9183343805186672,0.5555555555555556,0.5555555555555556,0 3 4 5 9,H00 H02 H11 H20 H30,3 4 5 9,H02 H11 H20 H30
random,9,17,4,4,5,4,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.00175739754922688,0.8891256070484305,0.8697804934537403,0.9982426024507731,0.8891256070484305,0.5555555555555556,0.5555555555555556,0 1 2 3 8,H00 H01 H10 H02 H21,1 2 3 8,H01 H10 H02 H21
random,9,18,4,4,5,4,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.0013547963462769985,0.9143564369392169,0.9185411894321935,0.998645203653723,0.9143564369392169,0.5555555555555556,0.5555555555555556,0 1 4 5 7,H00 H01 H11 H20 H12,1 4 5 7,H01 H11 H20 H12
random,9,19,4,4,5,4,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.0016902810893952847,0.8936720144681358,0.9133759395370573,0.9983097189106047,0.8936720144681358,0.5555555555555556,0.5555555555555556,0 4 5 8 9,H00 H11 H20 H21 H30,4 5 8 9,H11 H20 H21 H30
random,9,0,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0017321694176644087,0.8914278584591132,0.8869952063757701,0.9982678305823356,0.8914278584591132,0.4444444444444444,0.4444444444444444,0 1 3 7 8 9,H00 H01 H02 H12 H21 H30,1 3 7 8 9,H01 H02 H12 H21 H30
random,9,1,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0013461968628689647,0.9140820356172273,0.9191165999748921,0.998653803137131,0.9140820356172273,0.4444444444444444,0.4444444444444444,0 1 2 3 4 5,H00 H01 H10 H02 H11 H20,1 2 3 4 5,H01 H10 H02 H11 H20
random,9,2,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0015264246612787247,0.9016876910834193,0.9125162703344305,0.9984735753387213,0.9016876910834193,0.4444444444444444,0.4444444444444444,0 2 5 7 8 9,H00 H10 H20 H12 H21 H30,2 5 7 8 9,H10 H20 H12 H21 H30
random,9,3,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0019334547687321901,0.8838837986699041,0.8540070894249104,0.9980665452312678,0.8838837986699041,0.4444444444444444,0.4444444444444444,0 1 4 6 7 9,H00 H01 H11 H03 H12 H30,1 4 6 7 9,H01 H11 H03 H12 H30
random,9,4,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0016503350343555212,0.8930109939521331,0.9002168792000527,0.9983496649656445,0.8930109939521331,0.4444444444444444,0.4444444444444444,0 2 5 6 8 9,H00 H10 H20 H03 H21 H30,2 5 6 8 9,H10 H20 H03 H21 H30
random,9,5,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0014556734822690487,0.9059246909427019,0.9122144080913307,0.998544326517731,0.9059246909427019,0.4444444444444444,0.4444444444444444,0 1 2 3 5 8,H00 H01 H10 H02 H20 H21,1 2 3 5 8,H01 H10 H02 H20 H21
random,9,6,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0021818685345351696,0.8761523743996156,0.8736600298590236,0.9978181314654648,0.8761523743996156,0.4444444444444444,0.4444444444444444,0 1 4 6 8 9,H00 H01 H11 H03 H21 H30,1 4 6 8 9,H01 H11 H03 H21 H30
random,9,7,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.001319575821980834,0.9164631151805734,0.9217120248674497,0.9986804241780192,0.9164631151805734,0.4444444444444444,0.4444444444444444,0 2 3 4 5 6,H00 H10 H02 H11 H20 H03,2 3 4 5 6,H10 H02 H11 H20 H03
random,9,8,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0013461968628689647,0.9140820356172273,0.9191165999748921,0.998653803137131,0.9140820356172273,0.4444444444444444,0.4444444444444444,0 1 2 3 4 5,H00 H01 H10 H02 H11 H20,1 2 3 4 5,H01 H10 H02 H11 H20
random,9,9,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0013084288220852613,0.9174665638758368,0.9218013509558436,0.9986915711779147,0.9174665638758368,0.4444444444444444,0.4444444444444444,0 2 3 4 5 8,H00 H10 H02 H11 H20 H21,2 3 4 5 8,H10 H02 H11 H20 H21
random,9,10,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0017799127381294966,0.8935743897409133,0.8648138430587236,0.9982200872618705,0.8935743897409133,0.4444444444444444,0.4444444444444444,0 1 2 4 6 8,H00 H01 H10 H11 H03 H21,1 2 4 6 8,H01 H10 H11 H03 H21
random,9,11,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.001801628153771162,0.8883201758799173,0.8711555065508247,0.9981983718462288,0.8883201758799173,0.4444444444444444,0.4444444444444444,0 1 3 4 7 9,H00 H01 H02 H11 H12 H30,1 3 4 7 9,H01 H02 H11 H12 H30
random,9,12,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0014872406609356403,0.9033702004005453,0.9080109114755366,0.9985127593390644,0.9033702004005453,0.4444444444444444,0.4444444444444444,0 1 2 3 5 7,H00 H01 H10 H02 H20 H12,1 2 3 5 7,H01 H10 H02 H20 H12
random,9,13,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0016811323584988713,0.8943722681026113,0.9142083948446522,0.9983188676415011,0.8943722681026113,0.4444444444444444,0.4444444444444444,0 1 4 5 6 9,H00 H01 H11 H20 H03 H30,1 4 5 6 9,H01 H11 H20 H03 H30
random,9,14,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0019508079858496785,0.883318516094676,0.8544347206289831,0.9980491920141503,0.883318516094676,0.4444444444444444,0.4444444444444444,0 2 4 6 7 9,H00 H10 H11 H03 H12 H30,2 4 6 7 9,H10 H11 H03 H12 H30
random,9,15,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0015264246612787247,0.9016876910834193,0.9125162703344305,0.9984735753387213,0.9016876910834193,0.4444444444444444,0.4444444444444444,0 2 5 7 8 9,H00 H10 H20 H12 H21 H30,2 5 7 8 9,H10 H20 H12 H21 H30
random,9,16,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.001788424327969551,0.8898970432287164,0.8723921457412583,0.9982115756720304,0.8898970432287164,0.4444444444444444,0.4444444444444444,0 3 4 6 7 9,H00 H02 H11 H03 H12 H30,3 4 6 7 9,H02 H11 H03 H12 H30
random,9,17,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0015268619172275066,0.9000223877171982,0.9094932966832605,0.9984731380827725,0.9000223877171982,0.4444444444444444,0.4444444444444444,0 2 3 5 6 9,H00 H10 H02 H20 H03 H30,2 3 5 6 9,H10 H02 H20 H03 H30
random,9,18,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0013758239801973104,0.9163988667598945,0.9244195661785697,0.9986241760198027,0.9163988667598945,0.4444444444444444,0.4444444444444444,0 1 3 4 5 6,H00 H01 H02 H11 H20 H03,1 3 4 5 6,H01 H02 H11 H20 H03
random,9,19,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0015041390433907509,0.9043364976660108,0.9146685061883443,0.9984958609566092,0.9043364976660108,0.4444444444444444,0.4444444444444444,0 2 5 6 7 8,H00 H10 H20 H03 H12 H21,2 5 6 7 8,H10 H20 H03 H12 H21
random,9,0,6,6,7,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0021342565305531025,0.8592388208348671,0.831538813566656,0.9978657434694469,0.8592388208348671,0.33333333333333337,0.33333333333333337,0 1 2 3 6 7 9,H00 H01 H10 H02 H03 H12 H30,1 2 3 6 7 9,H01 H10 H02 H03 H12 H30
random,9,1,6,6,7,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0013251581694930792,0.9172628386196426,0.9231649289519446,0.9986748418305069,0.9172628386196426,0.33333333333333337,0.33333333333333337,0 1 2 4 5 6 7,H00 H01 H10 H11 H20 H03 H12,1 2 4 5 6 7,H01 H10 H11 H20 H03 H12
random,9,2,6,6,7,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0015866623725742102,0.9031320104063195,0.8786008086037449,0.9984133376274258,0.9031320104063195,0.33333333333333337,0.33333333333333337,0 1 2 3 4 6 8,H00 H01 H10 H02 H11 H03 H21,1 2 3 4 6 8,H01 H10 H02 H11 H03 H21
random,9,3,6,6,7,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0015436424873769283,0.9067775933836076,0.894648748120395,0.9984563575126231,0.9067775933836076,0.33333333333333337,0.33333333333333337,0 3 4 6 7 8 9,H00 H02 H11 H03 H12 H21 H30,3 4 6 7 8 9,H02 H11 H03 H12 H21 H30
random,9,4,6,6,7,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0015478322748094797,0.9070478125113227,0.89157851345601,0.9984521677251905,0.9070478125113227,0.33333333333333337,0.33333333333333337,0 2 3 4 7 8 9,H00 H10 H02 H11 H12 H21 H30,2 3 4 7 8 9,H10 H02 H11 H12 H21 H30
random,9,5,6,6,7,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0012865487951785326,0.9190052093740876,0.9289715840539444,0.9987134512048215,0.9190052093740876,0.33333333333333337,0.33333333333333337,0 1 2 3 4 5 9,H00 H01 H10 H02 H11 H20 H30,1 2 3 4 5 9,H01 H10 H02 H11 H20 H30
random,9,6,6,6,7,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0013383288169279695,0.9160408036745686,0.9208491047154196,0.998661671183072,0.9160408036745686,0.33333333333333337,0.33333333333333337,0 1 4 5 6 7 9,H00 H01 H11 H20 H03 H12 H30,1 4 5 6 7 9,H01 H11 H20 H03 H12 H30
