method,preference_id,preference_name,preference,image_id,k_budget,k,k_total,k_effective,cost,k_norm,k_norm_effective,mse,ssim,edge_corr,obj_mse,obj_ssim,obj_cost,obj_k,selected_indices,selected_labels,selected_detail_indices,selected_detail_labels,actions,repeat
top-k energy,,mse_ssim_balance,,9,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.002795994048938155,0.8146355118288013,0.7837749415389097,0.9972040059510618,0.8146355118288013,0.8888888888888888,0.8888888888888888,0 2,H00 H10,2,H10,,
greedy,,mse_ssim_balance,,9,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.002778807654976845,0.8278423359974173,0.8602980806853073,0.9972211923450232,0.8278423359974173,0.8888888888888888,0.8888888888888888,0 5,H00 H20,5,H20,,
Envelope-DQN,2.0,general_balance,0.250 0.250 0.250 0.250,0,0,0,1,0,0.0,0.0,0.0,0.004583664238452911,0.7657122535533609,0.71036261445993,0.9954163357615471,0.7657122535533609,1.0,1.0,0,H00,,,10,
random,,general_balance,,0,0,0,1,0,0.0,0.0,0.0,0.004583664238452911,0.7657122535533609,0.71036261445993,0.9954163357615471,0.7657122535533609,1.0,1.0,0,H00,,,,
top-k energy,,general_balance,,0,0,0,1,0,0.0,0.0,0.0,0.004583664238452911,0.7657122535533609,0.71036261445993,0.9954163357615471,0.7657122535533609,1.0,1.0,0,H00,,,,
greedy,,general_balance,,0,0,0,1,0,0.0,0.0,0.0,0.004583664238452911,0.7657122535533609,0.71036261445993,0.9954163357615471,0.7657122535533609,1.0,1.0,0,H00,,,,
Envelope-DQN,2.0,general_balance,0.250 0.250 0.250 0.250,1,0,0,1,0,0.0,0.0,0.0,0.0025699364487081766,0.7542833662622328,0.7371436406393436,0.9974300635512918,0.7542833662622328,1.0,1.0,0,H00,,,10,
random,,general_balance,,1,0,0,1,0,0.0,0.0,0.0,0.0025699364487081766,0.7542833662622328,0.7371436406393436,0.9974300635512918,0.7542833662622328,1.0,1.0,0,H00,,,,
top-k energy,,general_balance,,1,0,0,1,0,0.0,0.0,0.0,0.0025699364487081766,0.7542833662622328,0.7371436406393436,0.9974300635512918,0.7542833662622328,1.0,1.0,0,H00,,,,
greedy,,general_balance,,1,0,0,1,0,0.0,0.0,0.0,0.0025699364487081766,0.7542833662622328,0.7371436406393436,0.9974300635512918,0.7542833662622328,1.0,1.0,0,H00,,,,
Envelope-DQN,2.0,general_balance,0.250 0.250 0.250 0.250,2,0,0,1,0,0.0,0.0,0.0,0.004378097131848335,0.7438907887884632,0.6861632561518873,0.9956219028681517,0.7438907887884632,1.0,1.0,0,H00,,,10,
random,,general_balance,,2,0,0,1,0,0.0,0.0,0.0,0.004378097131848335,0.7438907887884632,0.6861632561518873,0.9956219028681517,0.7438907887884632,1.0,1.0,0,H00,,,,
top-k energy,,general_balance,,2,0,0,1,0,0.0,0.0,0.0,0.004378097131848335,0.7438907887884632,0.6861632561518873,0.9956219028681517,0.7438907887884632,1.0,1.0,0,H00,,,,
greedy,,general_balance,,2,0,0,1,0,0.0,0.0,0.0,0.004378097131848335,0.7438907887884632,0.6861632561518873,0.9956219028681517,0.7438907887884632,1.0,1.0,0,H00,,,,
Envelope-DQN,2.0,general_balance,0.250 0.250 0.250 0.250,3,0,0,1,0,0.0,0.0,0.0,0.0032505933195352554,0.755452067235498,0.6864736253960254,0.9967494066804647,0.755452067235498,1.0,1.0,0,H00,,,10,
random,,general_balance,,3,0,0,1,0,0.0,0.0,0.0,0.0032505933195352554,0.755452067235498,0.6864736253960254,0.9967494066804647,0.755452067235498,1.0,1.0,0,H00,,,,
top-k energy,,general_balance,,3,0,0,1,0,0.0,0.0,0.0,0.0032505933195352554,0.755452067235498,0.6864736253960254,0.9967494066804647,0.755452067235498,1.0,1.0,0,H00,,,,
greedy,,general_balance,,3,0,0,1,0,0.0,0.0,0.0,0.0032505933195352554,0.755452067235498,0.6864736253960254,0.9967494066804647,0.755452067235498,1.0,1.0,0,H00,,,,
Envelope-DQN,2.0,general_balance,0.250 0.250 0.250 0.250,4,0,0,1,0,0.0,0.0,0.0,0.002123134210705757,0.8024349885059169,0.7413017014004674,0.9978768657892942,0.8024349885059169,1.0,1.0,0,H00,,,10,
random,,general_balance,,4,0,0,1,0,0.0,0.0,0.0,0.002123134210705757,0.8024349885059169,0.7413017014004674,0.9978768657892942,0.8024349885059169,1.0,1.0,0,H00,,,,
top-k energy,,general_balance,,4,0,0,1,0,0.0,0.0,0.0,0.002123134210705757,0.8024349885059169,0.7413017014004674,0.9978768657892942,0.8024349885059169,1.0,1.0,0,H00,,,,
greedy,,general_balance,,4,0,0,1,0,0.0,0.0,0.0,0.002123134210705757,0.8024349885059169,0.7413017014004674,0.9978768657892942,0.8024349885059169,1.0,1.0,0,H00,,,,
Envelope-DQN,2.0,general_balance,0.250 0.250 0.250 0.250,5,0,0,1,0,0.0,0.0,0.0,0.00443423492833972,0.8034664750460194,0.7277412760423162,0.9955657650716603,0.8034664750460194,1.0,1.0,0,H00,,,10,
random,,general_balance,,5,0,0,1,0,0.0,0.0,0.0,0.00443423492833972,0.8034664750460194,0.7277412760423162,0.9955657650716603,0.8034664750460194,1.0,1.0,0,H00,,,,
top-k energy,,general_balance,,5,0,0,1,0,0.0,0.0,0.0,0.00443423492833972,0.8034664750460194,0.7277412760423162,0.9955657650716603,0.8034664750460194,1.0,1.0,0,H00,,,,
greedy,,general_balance,,5,0,0,1,0,0.0,0.0,0.0,0.00443423492833972,0.8034664750460194,0.7277412760423162,0.9955657650716603,0.8034664750460194,1.0,1.0,0,H00,,,,
