episode,global_step,epsilon,scalar_return,loss,mse,ssim,k,cost,actions
1865,7243,0.050000000000000044,0.11503994464874268,0.00012413290096446872,0.0028499681502580643,0.7693135804229823,1,0.06666666666666667,0 15
1866,7245,0.050000000000000044,0.300115704536438,9.524699271423742e-05,0.0023183857556432486,0.8213479642675443,1,0.06666666666666667,0 15
1867,7247,0.050000000000000044,0.12244947254657745,0.00012846231402363628,0.002852122997865081,0.6947940848036874,1,0.06666666666666667,0 15
1868,7251,0.050000000000000044,0.16225440800189972,0.00022585733677260578,0.001570453168824315,0.8800492843393763,3,0.2,13 0 14 15
1869,7253,0.050000000000000044,0.12244947254657745,0.00026115161017514765,0.002852122997865081,0.6947940848036874,1,0.06666666666666667,0 15
1870,7255,0.050000000000000044,0.17371436953544617,0.0002033187629422173,0.003069466445595026,0.7810428271781072,1,0.06666666666666667,0 15
1871,7257,0.050000000000000044,0.21899893879890442,0.0002039965766016394,0.0019920608028769493,0.789990494813295,1,0.06666666666666667,0 15
1872,7261,0.050000000000000044,0.3721415400505066,0.0002103935730701778,0.0010789509397000074,0.8825132501855333,3,0.2,0 13 10 15
1873,7263,0.050000000000000044,0.12244947254657745,0.0001490824215579778,0.002852122997865081,0.6947940848036874,1,0.06666666666666667,0 15
1874,7267,0.050000000000000044,0.29560109972953796,0.00023571016936330125,0.001277989475056529,0.8967224672950548,3,0.2,5 0 13 15
1875,7271,0.050000000000000044,0.3427630662918091,0.00019673986389534548,0.001544320024549961,0.8921625691329823,3,0.2,0 13 10 15
1876,7276,0.050000000000000044,0.3684343099594116,0.0001816614152630791,0.0008802216034382582,0.9131532091908733,4,0.26666666666666666,0 13 10 12 15
1877,7278,0.050000000000000044,0.12251240015029907,0.00017296148143941537,0.0032903882674872875,0.761178596687975,1,0.06666666666666667,0 15
1878,7280,0.050000000000000044,0.17167341709136963,0.00026356180023867637,0.0038083093240857124,0.7457163336772752,1,0.06666666666666667,0 15
1879,7284,0.050000000000000044,0.29598212242126465,0.0002154655521735549,0.0013249197509139776,0.8983499141017974,3,0.2,11 3 0 15
1880,7286,0.050000000000000044,0.13259172439575195,0.00022196552890818566,0.002853183075785637,0.7414969990470676,1,0.06666666666666667,0 15
1881,7291,0.050000000000000044,0.3684343099594116,0.00017994126828853042,0.0008802216034382582,0.9131532091908733,4,0.26666666666666666,0 13 10 12 15
1882,7293,0.050000000000000044,0.17167341709136963,0.00018798973178490996,0.0038083093240857124,0.7457163336772752,1,0.06666666666666667,0 15
1883,7295,0.050000000000000044,0.300115704536438,0.00027331896126270294,0.0023183857556432486,0.8213479642675443,1,0.06666666666666667,0 15
1884,7297,0.050000000000000044,0.16447439789772034,0.0001303277567785699,0.006094321608543396,0.700758538072415,1,0.06666666666666667,0 15
1885,7299,0.050000000000000044,0.12244947254657745,0.0001448240946047008,0.002852122997865081,0.6947940848036874,1,0.06666666666666667,0 15
1886,7303,0.050000000000000044,0.3885733485221863,0.000210528691241052,0.0011032050242647529,0.8601654219251751,3,0.2,0 13 10 15
1887,7305,0.050000000000000044,0.17371436953544617,0.0002242801565444097,0.003069466445595026,0.7810428271781072,1,0.06666666666666667,0 15
1888,7309,0.050000000000000044,0.43232932686805725,0.00016230318215093575,0.0017157929250970483,0.8621493201131415,3,0.2,4 0 10 15
1889,7311,0.050000000000000044,0.09905785322189331,0.00014591669605579227,0.002730385400354862,0.7102124447359589,1,0.06666666666666667,0 15
1890,7314,0.050000000000000044,0.12154434621334076,0.00017437111334099123,0.0008176915580406785,0.8739323506085257,2,0.13333333333333333,13 0 15
1891,7316,0.050000000000000044,0.08240792900323868,0.000225675743422471,0.003982699941843748,0.6812698549951464,1,0.06666666666666667,0 15
1892,7320,0.050000000000000044,0.38444435596466064,0.00023689749286859296,0.0006274377810768783,0.9003837767204405,3,0.2,0 13 10 15
1893,7322,0.050000000000000044,0.1831447035074234,0.00017487425066065043,0.003824138082563877,0.7307142555142235,1,0.06666666666666667,0 15
1894,7324,0.050000000000000044,0.23669050633907318,0.00016080283239716664,0.0034648894798010588,0.7995885665950395,1,0.06666666666666667,0 15
1895,7328,0.050000000000000044,0.34487324953079224,0.00015329175585065968,0.0013097539776936173,0.8651884411872497,3,0.2,0 13 10 15
1896,7330,0.050000000000000044,0.2642996311187744,0.00016549522115383297,0.003218446159735322,0.7966522244934776,1,0.06666666666666667,0 15
1897,7333,0.050000000000000044,0.2488272339105606,0.0001597497976035811,0.001987551338970661,0.8668649963875091,2,0.13333333333333333,7 0 15
1898,7335,0.050000000000000044,0.1711343228816986,0.00017454437329433858,0.002334018237888813,0.8169348388184947,1,0.06666666666666667,0 15
1899,7339,0.050000000000000044,0.3604032099246979,0.00014584659584215842,0.0011463986011222005,0.9113060057730227,3,0.2,0 13 10 15
1900,7344,0.050000000000000044,0.3844090700149536,0.00015209916746243833,0.0008425843552686274,0.8962683220716209,4,0.26666666666666666,0 13 10 12 15
1901,7348,0.050000000000000044,0.3721415400505066,0.00014668064250145108,0.0010789509397000074,0.8825132501855333,3,0.2,0 13 10 15
1902,7350,0.050000000000000044,0.16447439789772034,0.00013596809731097892,0.006094321608543396,0.700758538072415,1,0.06666666666666667,0 15
1903,7353,0.050000000000000044,0.1057085245847702,0.00015643348403197402,0.0022410545498132706,0.8064688687410989,2,0.13333333333333333,1 0 15
1904,7358,0.050000000000000044,0.42343443632125854,0.00019015325233340263,0.0015111033571884036,0.8794526700705608,4,0.26666666666666666,0 13 10 11 15
1905,7360,0.050000000000000044,0.09905785322189331,0.00014265715435612947,0.002730385400354862,0.7102124447359589,1,0.06666666666666667,0 15
1906,7362,0.050000000000000044,0.17167341709136963,0.0001809613750083372,0.0038083093240857124,0.7457163336772752,1,0.06666666666666667,0 15
1907,7366,0.050000000000000044,0.43414807319641113,0.00016746529581723735,0.000544422073289752,0.9392781933940123,3,0.2,0 13 12 15
1908,7368,0.050000000000000044,0.18965360522270203,0.00020681267051259056,0.002573377685621381,0.7079943261833531,1,0.06666666666666667,0 15
1909,7370,0.050000000000000044,0.1344224512577057,0.00018188243848271668,0.003237640717998147,0.7251322270458505,1,0.06666666666666667,0 15
1910,7372,0.050000000000000044,0.30348581075668335,0.00011730580081348307,0.0027194975409656763,0.7972285267824969,1,0.06666666666666667,0 15
1911,7377,0.050000000000000044,0.3668874204158783,0.00013860797189408914,0.0008172185625880957,0.9142544699321179,4,0.26666666666666666,0 13 10 11 15
1912,7379,0.050000000000000044,0.17371436953544617,0.00014419053695746697,0.003069466445595026,0.7810428271781072,1,0.06666666666666667,0 15
1913,7381,0.050000000000000044,0.1344224512577057,0.00017337777535431087,0.003237640717998147,0.7251322270458505,1,0.06666666666666667,0 15
1914,7385,0.050000000000000044,0.38444435596466064,0.0001578593219164759,0.0006274377810768783,0.9003837767204405,3,0.2,0 13 10 15
1915,7387,0.050000000000000044,0.12251240015029907,0.00019106940453639254,0.0032903882674872875,0.761178596687975,1,0.06666666666666667,0 15
1916,7392,0.050000000000000044,0.3311240077018738,0.00016926952521316706,0.001049639075063169,0.8913035270238603,4,0.26666666666666666,0 13 10 11 15
1917,7397,0.050000000000000044,0.33649417757987976,0.0001465149543946609,0.001157351303845644,0.8846703036538769,4,0.26666666666666666,10 0 13 11 15
1918,7399,0.050000000000000044,0.1344224512577057,0.00016874197172001004,0.003237640717998147,0.7251322270458505,1,0.06666666666666667,0 15
1919,7402,0.050000000000000044,0.3462078869342804,0.0001870524235224972,0.0021641680505126715,0.8454819418551948,2,0.13333333333333333,0 13 15
1920,7404,0.050000000000000044,0.2642996311187744,0.00014684256893815473,0.003218446159735322,0.7966522244934776,1,0.06666666666666667,0 15
1921,7408,0.050000000000000044,0.3604032099246979,0.00015307099056371953,0.0011463986011222005,0.9113060057730227,3,0.2,0 13 10 15
1922,7410,0.050000000000000044,0.2005401849746704,0.00012451869406504557,0.003257201984524727,0.7500508179695442,1,0.06666666666666667,0 15
1923,7414,0.050000000000000044,0.3569927513599396,0.00015500462177442387,0.0008705592481419444,0.8946568024888475,3,0.2,0 13 10 15
