method,image_id,repeat,k_budget,k,cost,k_norm,mse,ssim,obj_mse,obj_ssim,obj_cost,obj_k,selected_indices,selected_labels,is_pareto_global,is_pareto_by_method
random,1,0.0,4,4,0.6666666865348816,0.6666666666666666,0.000477500987472,0.9838564797971376,0.999522499012528,0.9838564797971376,0.3333333134651184,0.3333333333333333,0 2 3 5,H00 H10 H02 H20,False,False
random,1,1.0,4,4,0.6666666865348816,0.6666666666666666,0.0004105942789465,0.9888288062176056,0.9995894057210536,0.9888288062176056,0.3333333134651184,0.3333333333333333,0 2 3 4,H00 H10 H02 H11,True,True
random,1,2.0,4,4,0.6666666865348816,0.6666666666666666,0.0004217063542455,0.9850598096671188,0.9995782936457543,0.9850598096671188,0.3333333134651184,0.3333333333333333,0 1 2 3,H00 H01 H10 H02,False,False
random,1,0.0,5,5,0.8333333134651184,0.8333333333333334,0.0919884890317916,0.0993051206673119,0.9080115109682084,0.0993051206673119,0.1666666865348816,0.1666666666666666,1 2 3 4 5,H01 H10 H02 H11 H20,False,False
random,1,1.0,5,5,0.8333333134651184,0.8333333333333334,0.0004137254145462,0.98717403852728,0.9995862745854538,0.98717403852728,0.1666666865348816,0.1666666666666666,0 1 2 3 5,H00 H01 H10 H02 H20,False,False
random,1,2.0,5,5,0.8333333134651184,0.8333333333333334,0.0919884890317916,0.0993051206673119,0.9080115109682084,0.0993051206673119,0.1666666865348816,0.1666666666666666,1 2 3 4 5,H01 H10 H02 H11 H20,False,False
random,1,0.0,6,6,1.0,1.0,0.0003823742445092,0.9918233317559992,0.9996176257554908,0.9918233317559992,0.0,0.0,0 1 2 3 4 5,H00 H01 H10 H02 H11 H20,True,True
random,1,1.0,6,6,1.0,1.0,0.0003823742445092,0.9918233317559992,0.9996176257554908,0.9918233317559992,0.0,0.0,0 1 2 3 4 5,H00 H01 H10 H02 H11 H20,True,True
random,1,2.0,6,6,1.0,1.0,0.0003823742445092,0.9918233317559992,0.9996176257554908,0.9918233317559992,0.0,0.0,0 1 2 3 4 5,H00 H01 H10 H02 H11 H20,True,True
random,2,0.0,1,1,0.1666666716337204,0.1666666666666666,0.1997667849063873,0.0361761317007001,0.8002332150936127,0.0361761317007001,0.8333333283662796,0.8333333333333334,2,H10,False,False
random,2,1.0,1,1,0.1666666716337204,0.1666666666666666,0.202738881111145,0.0136760331884222,0.797261118888855,0.0136760331884222,0.8333333283662796,0.8333333333333334,3,H02,False,False
random,2,2.0,1,1,0.1666666716337204,0.1666666666666666,0.202738881111145,0.0136760331884222,0.797261118888855,0.0136760331884222,0.8333333283662796,0.8333333333333334,3,H02,False,False
random,2,0.0,2,2,0.3333333432674408,0.3333333333333333,0.0002635485725477,0.9466531126809544,0.9997364514274524,0.9466531126809544,0.6666666567325592,0.6666666666666667,0 2,H00 H10,True,True
random,2,1.0,2,2,0.3333333432674408,0.3333333333333333,0.0005461939144879,0.8969995132564793,0.999453806085512,0.8969995132564793,0.6666666567325592,0.6666666666666667,0 3,H00 H02,False,False
random,2,2.0,2,2,0.3333333432674408,0.3333333333333333,0.2006088495254516,0.0258218055469061,0.7993911504745483,0.0258218055469061,0.6666666567325592,0.6666666666666667,1 3,H01 H02,False,False
random,2,0.0,3,3,0.5,0.5,0.0002119103010045,0.9533234832025844,0.9997880896989956,0.9533234832025844,0.5,0.5,0 2 5,H00 H10 H20,False,False
random,2,1.0,3,3,0.5,0.5,0.000133574969368,0.9685110840395358,0.999866425030632,0.9685110840395358,0.5,0.5,0 4 5,H00 H11 H20,True,True
