episode,global_step,epsilon,scalar_return,loss,mse,ssim,k,paid_k,total_k,cost,actions
1784,9445,0.050000000000000044,0.4483349919319153,0.0004873658098014338,0.0007852078415453434,0.8988121339739007,6,6,7,0.0,7 5 3 6 8 4 10
1785,9453,0.050000000000000044,0.5064674019813538,0.0004245897871442139,0.0006209442508406937,0.9314489796598232,7,7,8,0.0,7 5 3 6 4 9 2 10
1786,9457,0.050000000000000044,0.30297723412513733,0.0003958106826758012,0.0009209985146299005,0.9276692834057082,3,3,4,0.0,3 5 4 10
1787,9461,0.050000000000000044,0.21282950043678284,0.00043999397894367576,0.0008140195277519524,0.9398560478627752,3,3,4,0.0,3 5 4 10
1788,9468,0.050000000000000044,0.4030226469039917,0.00033044856016723704,0.0007499791099689901,0.920192811899463,6,6,7,0.0,7 9 4 5 3 2 10
1789,9471,0.050000000000000044,0.08442725986242294,0.00040616995344559353,0.001293298089876771,0.8578867554912669,2,2,3,0.0,7 8 10
1790,9475,0.050000000000000044,0.3220631182193756,0.00030073997913859785,0.00039680927875451744,0.9629182144202176,3,3,4,0.0,4 5 3 10
1791,9483,0.050000000000000044,0.5021100044250488,0.0004025114139949437,0.0006319843814708292,0.9296940156877679,7,7,8,0.0,2 1 4 7 9 5 3 10
1792,9487,0.050000000000000044,0.10029949247837067,0.0003776442681555636,0.0003878751886077225,0.9448756375189485,3,3,4,0.0,3 4 5 10
1793,9491,0.050000000000000044,0.2718748152256012,0.0003594228910515085,0.0006805580342188478,0.9332163441620599,3,3,4,0.0,4 5 3 10
1794,9499,0.050000000000000044,0.539195716381073,0.00033067315598600544,0.00031488327658735216,0.9616533706006766,7,7,8,0.0,5 7 3 6 4 9 2 10
1795,9503,0.050000000000000044,0.30158212780952454,0.0006810025370214134,0.0004913120064884424,0.9460985286517886,3,3,4,0.0,4 5 3 10
1796,9507,0.050000000000000044,0.2718748152256012,0.0006099355377955362,0.0006805580342188478,0.9332163441620599,3,3,4,0.0,4 5 3 10
1797,9516,0.050000000000000044,0.38489648699760437,0.0005720929863552252,0.0009265134576708078,0.9069147171733921,8,8,9,0.0,7 9 4 3 5 2 1 8 10
1798,9520,0.050000000000000044,0.30158212780952454,0.000489034500787966,0.0004913120064884424,0.9460985286517886,3,3,4,0.0,4 5 3 10
1799,9524,0.050000000000000044,0.21499721705913544,0.0005630136511172168,0.0007459187181666493,0.9416358080580742,3,3,4,0.0,4 5 3 10
1800,9528,0.050000000000000044,0.21238619089126587,0.000526840791280847,0.0011898600496351719,0.9272665474275913,3,3,4,0.0,4 5 3 10
1801,9536,0.050000000000000044,0.3943439722061157,0.0005557623626373243,0.0010241478448733687,0.9061037700946635,7,7,8,0.0,3 9 7 4 5 2 8 10
1802,9539,0.050000000000000044,0.10590078681707382,0.00043006013341558474,0.0015152505366131663,0.8739005686154901,2,2,3,0.0,7 8 10
1803,9542,0.050000000000000044,0.1174188181757927,0.0005381475784815848,0.00070716452319175,0.9378703671167565,2,2,3,0.0,8 7 10
1804,9546,0.050000000000000044,0.30401620268821716,0.00044100554441683926,0.0006716125644743443,0.9484512512345092,3,3,4,0.0,3 5 4 10
1805,9551,0.050000000000000044,0.2289275825023651,0.00046917275176383555,0.0008258778834715486,0.9067661408401414,4,4,5,0.0,3 8 5 4 10
1806,9555,0.050000000000000044,0.07672931253910065,0.00048294160660589114,0.0009904849575832486,0.8990747353126263,3,3,4,0.0,4 3 5 10
1807,9560,0.050000000000000044,0.27866867184638977,0.0004629378498066217,0.0008993439842015505,0.9303372665867652,4,4,5,0.0,9 4 5 3 10
1808,9568,0.050000000000000044,0.44262969493865967,0.00042209390812786296,0.0007136231288313866,0.9437180119837932,7,7,8,0.0,2 5 1 3 4 9 8 10
1809,9572,0.050000000000000044,0.2718748152256012,0.0004360056555015035,0.0006805580342188478,0.9332163441620599,3,3,4,0.0,4 5 3 10
1810,9576,0.050000000000000044,0.21238619089126587,0.0004649210750358179,0.0011898600496351719,0.9272665474275913,3,3,4,0.0,4 5 3 10
1811,9580,0.050000000000000044,0.30158212780952454,0.00043972317507723346,0.0004913120064884424,0.9460985286517886,3,3,4,0.0,4 5 3 10
1812,9584,0.050000000000000044,0.21238619089126587,0.0005088569596409798,0.0011898600496351719,0.9272665474275913,3,3,4,0.0,5 3 4 10
1813,9591,0.050000000000000044,0.3684368133544922,0.0004668421419670007,0.0006126362713985145,0.9243970615756072,6,6,7,0.0,3 9 7 4 8 5 10
1814,9596,0.050000000000000044,0.2778966724872589,0.00042773277382366357,0.0006603552610613406,0.9491307777435686,4,4,5,0.0,4 5 3 1 10
1815,9603,0.050000000000000044,0.4559774398803711,0.00040096502717850465,0.000737322901841253,0.9427650700213651,6,6,7,0.0,1 8 7 5 3 4 10
1816,9611,0.050000000000000044,0.4971880316734314,0.000449711787950946,0.0008331005810759962,0.9328399639705132,7,7,8,0.0,8 4 9 2 5 7 3 10
1817,9615,0.050000000000000044,0.30297723412513733,0.0003766141599044204,0.0009209985146299005,0.9276692834057082,3,3,4,0.0,4 5 3 10
1818,9621,0.050000000000000044,0.37961938977241516,0.0003717863146448508,0.0006245305994525552,0.922281097979523,5,5,6,0.0,4 9 6 3 5 10
1819,9624,0.050000000000000044,0.07504940778017044,0.0005182608535202841,0.0013589512091130018,0.845822346010262,2,2,3,0.0,3 5 10
1820,9631,0.050000000000000044,0.4030227065086365,0.00039327259375048537,0.0007499791099689901,0.920192811899463,6,6,7,0.0,3 7 9 4 5 2 10
1821,9635,0.050000000000000044,0.11627032607793808,0.00035591371852206066,0.0008565268362872303,0.9259343916344303,3,3,4,0.0,3 5 4 10
