episode,seed,hermite_config,sigma,kernel_size,max_order,global_step,epsilon,scalar_return,loss,mse,ssim,k,paid_k,total_k,cost,actions
90,0,sigma_1p0__kernel_9__order_2,1.0,9,2,292,0.9075333333333333,0.3635513186454773,0.0006915784712570409,0.00047540137893520296,0.9445880163509696,2,2,3,0.0,4 3 6
91,0,sigma_1p0__kernel_9__order_2,1.0,9,2,296,0.9062666666666667,0.43344351649284363,0.0007256690587382764,0.0004920394858345389,0.9641359688694213,3,3,4,0.0,1 3 5 6
92,0,sigma_1p0__kernel_9__order_2,1.0,9,2,300,0.905,-0.013857059180736542,0.0007752843957860023,0.0006578094325959682,0.9293273545969964,3,3,4,0.0,5 4 2 6
93,0,sigma_1p0__kernel_9__order_2,1.0,9,2,305,0.9034166666666666,0.4836863577365875,0.0007786394795402885,0.00022795081895310432,0.9836518599360508,4,4,5,0.0,5 3 2 4 6
94,0,sigma_1p0__kernel_9__order_2,1.0,9,2,310,0.9018333333333334,0.39658990502357483,0.0007279152283445001,0.0004623690329026431,0.953826961881624,5,5,6,0.0,3 4 5 1 2
95,0,sigma_1p0__kernel_9__order_2,1.0,9,2,312,0.9012,0.07115249335765839,0.0005887227889616042,0.0011783256195485592,0.896155285814004,1,1,2,0.0,1 6
96,0,sigma_1p0__kernel_9__order_2,1.0,9,2,314,0.9005666666666666,0.16836291551589966,0.0007560870726592839,0.0009283022955060005,0.9382494058145496,1,1,2,0.0,4 6
97,0,sigma_1p0__kernel_9__order_2,1.0,9,2,319,0.8989833333333334,0.41234585642814636,0.0006799161550588906,0.0006324610440060496,0.9419210264359587,4,4,5,0.0,5 1 2 4 6
98,0,sigma_1p0__kernel_9__order_2,1.0,9,2,324,0.8974,0.4717111885547638,0.0006478694383986294,0.0004084963002242148,0.9487925082197087,5,5,6,0.0,4 2 1 5 3
99,0,sigma_1p0__kernel_9__order_2,1.0,9,2,329,0.8958166666666667,0.42420557141304016,0.0006814414635300636,0.00026576308300718665,0.9684869034147149,4,4,5,0.0,5 2 4 3 6
100,0,sigma_1p0__kernel_9__order_2,1.0,9,2,334,0.8942333333333333,-0.0372515469789505,0.0006772260647267103,0.00026926762075163424,0.9682317462425312,4,4,5,0.0,3 4 5 1 6
101,0,sigma_1p0__kernel_9__order_2,1.0,9,2,337,0.8932833333333333,0.1967402994632721,0.0005134288609648744,0.0006923765758983791,0.9270063836247119,2,2,3,0.0,2 4 6
102,0,sigma_1p0__kernel_9__order_2,1.0,9,2,341,0.8920166666666667,0.11659692227840424,0.0006943750340724364,0.0002816234191413969,0.9684781731060937,3,3,4,0.0,3 5 1 6
103,0,sigma_1p0__kernel_9__order_2,1.0,9,2,343,0.8913833333333333,0.24322420358657837,0.0006084647902753204,0.0007762591121718287,0.9143505001287823,1,1,2,0.0,3 6
104,0,sigma_1p0__kernel_9__order_2,1.0,9,2,347,0.8901166666666667,0.45535826683044434,0.00057299951731693,0.00046948809176683426,0.9537005855587801,3,3,4,0.0,3 4 5 6
105,0,sigma_1p0__kernel_9__order_2,1.0,9,2,352,0.8885333333333334,0.06338097155094147,0.0005761100910604,0.00027252317522652447,0.9715361044643609,4,4,5,0.0,5 1 4 2 6
106,0,sigma_1p0__kernel_9__order_2,1.0,9,2,357,0.88695,-0.05576308071613312,0.0005786086374428123,0.0004790611274074763,0.9483512943338129,4,4,5,0.0,2 4 5 3 6
107,0,sigma_1p0__kernel_9__order_2,1.0,9,2,362,0.8853666666666666,0.4717112183570862,0.0006321708904579281,0.0004084963002242148,0.9487925082197087,5,5,6,0.0,4 3 1 2 5
108,0,sigma_1p0__kernel_9__order_2,1.0,9,2,363,0.88505,0.0,0.0006279962253756821,0.001856160582974553,0.8008199268320795,0,0,1,0.0,6
109,0,sigma_1p0__kernel_9__order_2,1.0,9,2,368,0.8834666666666666,0.04167085886001587,0.000596316484734416,0.000223468552576378,0.9807782768140083,5,5,6,0.0,4 2 1 5 3
110,0,sigma_1p0__kernel_9__order_2,1.0,9,2,372,0.8822,0.45619407296180725,0.0005785931425634772,0.0003822278813458979,0.9659012573971618,3,3,4,0.0,5 2 4 6
111,0,sigma_1p0__kernel_9__order_2,1.0,9,2,377,0.8806166666666666,0.164119690656662,0.0004891251330263913,0.000258144544204697,0.9784430868737621,5,5,6,0.0,1 5 3 4 2
112,0,sigma_1p0__kernel_9__order_2,1.0,9,2,382,0.8790333333333333,0.5399646162986755,0.0005709649296477437,0.00040371244540438056,0.9671228918004404,4,4,5,0.0,2 4 3 5 6
113,0,sigma_1p0__kernel_9__order_2,1.0,9,2,384,0.8784,0.08585478365421295,0.0005734336737077683,0.0004186356964055449,0.9436479770400152,1,1,2,0.0,4 6
114,0,sigma_1p0__kernel_9__order_2,1.0,9,2,385,0.8780833333333333,0.0,0.0005415010964497924,0.003308313898742199,0.7732636727288578,0,0,1,0.0,6
115,0,sigma_1p0__kernel_9__order_2,1.0,9,2,390,0.8765000000000001,-0.12575902044773102,0.0005255374300759286,0.00047905812971293926,0.9483566799961854,5,5,6,0.0,1 4 2 5 3
116,0,sigma_1p0__kernel_9__order_2,1.0,9,2,394,0.8752333333333333,0.09827451407909393,0.0006532633560709655,0.0003418221022002399,0.9639796945271962,3,3,4,0.0,2 3 4 6
117,0,sigma_1p0__kernel_9__order_2,1.0,9,2,399,0.87365,0.01989591121673584,0.0005237925681285561,0.00034784965100698173,0.9687446950625863,5,5,6,0.0,3 5 2 1 4
118,0,sigma_1p0__kernel_9__order_2,1.0,9,2,404,0.8720666666666667,0.42582324147224426,0.0005327166232746095,0.00046869658399373293,0.9538842547733634,4,4,5,0.0,5 3 1 4 6
119,0,sigma_1p0__kernel_9__order_2,1.0,9,2,405,0.87175,0.0,0.0005973110091872513,0.003263943362981081,0.8303306931906627,0,0,1,0.0,6
120,0,sigma_1p0__kernel_9__order_2,1.0,9,2,406,0.8714333333333333,0.0,0.0005437377258203924,0.001856160582974553,0.8008199268320795,0,0,1,0.0,6
121,0,sigma_1p0__kernel_9__order_2,1.0,9,2,409,0.8704833333333333,0.19768989086151123,0.0005608529124098519,0.0006519197486341,0.9520212457239557,2,2,3,0.0,3 1 6
122,0,sigma_1p0__kernel_9__order_2,1.0,9,2,413,0.8692166666666667,0.2537424862384796,0.0005919400573475286,0.0003305163118056953,0.9657473915503509,3,3,4,0.0,3 5 4 6
123,0,sigma_1p0__kernel_9__order_2,1.0,9,2,414,0.8689,0.0,0.0003670156584121287,0.0015030436916276813,0.8656178130862369,0,0,1,0.0,6
124,0,sigma_1p0__kernel_9__order_2,1.0,9,2,416,0.8682666666666667,0.316841185092926,0.0005030928587075323,0.0004425017978064716,0.9460854963017418,1,1,2,0.0,5 6
125,0,sigma_1p0__kernel_9__order_2,1.0,9,2,420,0.867,0.010090194642543793,0.0005553942610276863,0.0005750933778472245,0.9534452539845397,3,3,4,0.0,3 1 4 6
126,0,sigma_1p0__kernel_9__order_2,1.0,9,2,425,0.8654166666666667,0.47171124815940857,0.0005220206454396248,0.0004084963002242148,0.9487925082197087,5,5,6,0.0,5 1 4 3 2
127,0,sigma_1p0__kernel_9__order_2,1.0,9,2,426,0.8651,0.0,0.00044179672840982676,0.0020724181085824966,0.849481851597816,0,0,1,0.0,6
128,0,sigma_1p0__kernel_9__order_2,1.0,9,2,428,0.8644666666666667,0.15218500792980194,0.0004831053229281679,0.0006951546529307961,0.9225613667178948,1,1,2,0.0,1 6
129,0,sigma_1p0__kernel_9__order_2,1.0,9,2,429,0.86415,0.0,0.0004507526755332947,0.0018314453773200512,0.7879006373170014,0,0,1,0.0,6
