method,image_id,repeat,k_budget,k,k_total,k_effective,cost,k_norm,k_norm_effective,mse,ssim,edge_corr,obj_mse,obj_ssim,obj_cost,obj_k,selected_indices,selected_labels,selected_detail_indices,selected_detail_labels,preference_id,preference_name,preference,actions
random,5,15,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0014315522275865078,0.8852947568044722,0.8391814234393429,0.9985684477724135,0.8852947568044722,0.6666666666666667,0.6666666666666667,0 6 7 9,H00 H03 H12 H30,6 7 9,H03 H12 H30,,,,
random,5,16,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0009260637452825904,0.915882139680431,0.8915860287330165,0.9990739362547174,0.915882139680431,0.6666666666666667,0.6666666666666667,0 1 4 7,H00 H01 H11 H12,1 4 7,H01 H11 H12,,,,
random,5,17,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0009750773897394538,0.9106696630240053,0.9290078358625273,0.9990249226102605,0.9106696630240053,0.6666666666666667,0.6666666666666667,0 3 5 8,H00 H02 H20 H21,3 5 8,H02 H20 H21,,,,
random,5,18,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0011998768895864487,0.8919433916782723,0.8472662741477828,0.9988001231104136,0.8919433916782723,0.6666666666666667,0.6666666666666667,0 1 2 9,H00 H01 H10 H30,1 2 9,H01 H10 H30,,,,
random,5,19,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0008394020842388272,0.9201469673164959,0.9246314628214904,0.9991605979157612,0.9201469673164959,0.6666666666666667,0.6666666666666667,0 1 5 7,H00 H01 H20 H12,1 5 7,H01 H20 H12,,,,
random,5,0,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0008251731051132083,0.9206436338804564,0.9297416210743186,0.9991748268948868,0.9206436338804564,0.4444444444444444,0.4444444444444444,0 5 6 7 8 9,H00 H20 H03 H12 H21 H30,5 6 7 8 9,H20 H03 H12 H21 H30,,,,
random,5,1,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0006586877861991525,0.9351861128554758,0.9376830463997405,0.9993413122138008,0.9351861128554758,0.4444444444444444,0.4444444444444444,0 1 2 3 4 5,H00 H01 H10 H02 H11 H20,1 2 3 4 5,H01 H10 H02 H11 H20,,,,
random,5,2,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0009911330416798592,0.906819832727189,0.8867773962077357,0.9990088669583201,0.906819832727189,0.4444444444444444,0.4444444444444444,0 1 2 4 6 9,H00 H01 H10 H11 H03 H30,1 2 4 6 9,H01 H10 H11 H03 H30,,,,
random,5,3,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0008248180383816361,0.9142286063268267,0.9178033020720546,0.9991751819616184,0.9142286063268267,0.4444444444444444,0.4444444444444444,0 2 5 6 8 9,H00 H10 H20 H03 H21 H30,2 5 6 8 9,H10 H20 H03 H21 H30,,,,
random,5,4,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0008136799442581832,0.9206319971189487,0.9205606043106886,0.9991863200557418,0.9206319971189487,0.4444444444444444,0.4444444444444444,0 1 2 5 7 9,H00 H01 H10 H20 H12 H30,1 2 5 7 9,H01 H10 H20 H12 H30,,,,
random,5,5,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0007332604145631194,0.9298664368467581,0.9255504948193287,0.9992667395854369,0.9298664368467581,0.4444444444444444,0.4444444444444444,0 1 4 7 8 9,H00 H01 H11 H12 H21 H30,1 4 7 8 9,H01 H11 H12 H21 H30,,,,
